Enrichment,GH,Active_Rate,Hits,Actives,filename,fbase,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,receptor,hyd,don,acc,ani,cat,aro,donhyd,catdon,hydaro,aniacc,donacc,features,s_score,hyd_prop,don_prop,acc_prop,ani_prop,cat_prop,aro_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
NaN,NaN,NaN,0,0,4330.ph4,4330,15.806893,2.5312545,9.4163427,43.379494,28.351967,33.498566,D2,2,0,1,0,0,0,0,0,0,1,1,5,-0.74000001,0.4,0,0.2,0,0,0,0,0,0,0.2,0.2,Not Quality
NaN,NaN,NaN,0,0,2639.ph4,2639,15.807976,2.1920481,9.7980633,41.010883,27.336866,33.295609,D2,1,2,2,0,0,0,0,0,0,0,0,5,-2.5677626,0.2,0.4,0.4,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,2417.ph4,2417,15.813695,2.084753,8.7409754,41.291084,26.874779,33.059875,D2,0,0,1,0,0,0,0,0,0,1,3,5,-0.90909094,0,0,0.2,0,0,0,0,0,0,0.2,0.6,Not Quality
0,0,0,1,0,4174.ph4,4174,15.839891,2.3380497,9.0620995,44.190197,30.146095,39.022697,D2,4,0,0,0,0,0,0,0,0,0,1,5,-0.67000002,0.8,0,0,0,0,0,0,0,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,2608.ph4,2608,15.85924,1.4464488,8.6110058,45.274994,30.093143,35.878407,D2,1,1,2,0,0,0,0,0,0,1,0,5,-0.55000001,0.2,0.2,0.4,0,0,0,0,0,0,0.2,0,Not Quality
NaN,NaN,NaN,0,0,3202.ph4,3202,15.859355,2.1988275,8.1571283,38.837296,26.008486,35.170486,D2,1,1,1,0,0,0,0,0,0,0,2,5,-0.69999999,0.2,0.2,0.2,0,0,0,0,0,0,0,0.4,Not Quality
NaN,NaN,NaN,0,0,2453.ph4,2453,15.887139,1.417374,9.8370228,42.858444,29.34314,34.966702,D2,3,0,1,0,0,0,0,1,0,0,0,5,-0.41019693,0.6,0,0.2,0,0,0,0,0.2,0,0,0,Not Quality
0,0,0,3,0,2634.ph4,2634,15.890981,1.2288765,9.3590212,40.079659,26.800655,32.499493,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.2923077,1,0,0,0,0,0,0,0,0,0,0,Not Quality
0,0,0,4,0,4754.ph4,4754,15.906104,1.5302672,7.7357812,41.044231,25.199242,30.986385,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.41538462,1,0,0,0,0,0,0,0,0,0,0,Not Quality
0,0,0,10,0,727.ph4,727,15.906325,2.2610295,8.3811283,41.719158,28.803307,34.292919,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.49000001,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,4367.ph4,4367,15.908673,1.104077,6.9766245,40.482044,29.012413,35.066555,D2,1,1,2,0,0,0,0,0,0,0,1,5,-1.0333333,0.2,0.2,0.4,0,0,0,0,0,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,2421.ph4,2421,15.909298,1.7151514,7.8426852,47.819546,33.133812,36.870373,D2,2,0,0,0,0,0,0,1,0,1,1,5,-2.1239655,0.4,0,0,0,0,0,0,0.2,0,0.2,0.2,Not Quality
NaN,NaN,NaN,0,0,4666.ph4,4666,15.915525,1.4179373,8.5339012,37.890625,24.684618,32.034733,D2,0,1,0,0,0,0,0,3,0,0,1,5,-2.8374791,0,0.2,0,0,0,0,0,0.6,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,4856.ph4,4856,15.922403,3.851721,8.0980711,41.719158,27.514772,35.992165,D2,2,0,3,0,0,0,0,0,0,0,0,5,-0.82727271,0.4,0,0.6,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,2196.ph4,2196,15.943515,1.1275238,7.0643649,41.719158,27.551899,36.607525,D2,2,1,1,0,0,0,0,0,0,0,1,5,-1.567701,0.4,0.2,0.2,0,0,0,0,0,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,54.ph4,54,15.964404,2.1930799,7.9161224,38.479671,24.915276,34.687565,D2,0,0,0,0,0,0,0,5,0,0,0,5,-2.0823789,0,0,0,0,0,0,0,1,0,0,0,Not Quality
NaN,NaN,NaN,0,0,3676.ph4,3676,15.977539,1.4502958,7.0587864,45.772671,30.335506,34.501904,D2,3,0,0,0,0,0,0,1,0,1,0,5,-3.385793,0.6,0,0,0,0,0,0,0.2,0,0.2,0,Not Quality
0,0,0,4,0,1107.ph4,1107,16.014875,1.4221853,8.7550163,41.719158,27.48941,33.378002,D2,4,0,1,0,0,0,0,0,0,0,0,5,-0.18333334,0.8,0,0.2,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,2441.ph4,2441,16.031708,3.3950336,8.0530758,39.227398,25.871527,34.335003,D2,1,1,1,0,0,0,0,0,0,1,1,5,-1.1138227,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0.2,Not Quality
NaN,NaN,NaN,0,0,630.ph4,630,16.080666,2.1752381,9.6209221,42.720253,27.746532,36.055874,D2,1,0,2,0,0,0,0,0,0,2,0,5,-0.38,0.2,0,0.4,0,0,0,0,0,0,0.4,0,Not Quality
NaN,NaN,NaN,0,0,707.ph4,707,16.100454,0.92934442,8.6403141,38.099957,24.684618,32.484608,D2,1,0,0,0,0,0,0,3,0,0,1,5,-2.9729071,0.2,0,0,0,0,0,0,0.6,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,2125.ph4,2125,16.111515,2.5232635,8.1181469,46.484863,32.220852,37.008427,D2,2,0,1,0,0,0,0,0,0,1,1,5,-0.44,0.4,0,0.2,0,0,0,0,0,0,0.2,0.2,Not Quality
NaN,NaN,NaN,0,0,1710.ph4,1710,16.147009,2.228555,7.841857,45.772671,30.186172,35.799973,D2,1,0,0,0,0,0,0,2,0,1,1,5,-2.7123199,0.2,0,0,0,0,0,0,0.4,0,0.2,0.2,Not Quality
