Receptor,Score Type,Hits,Enrichment,search_features,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
A2A,dU(class),153,1.154158215,5,8.3158131,1.1655952,4.5306869,10.404747,3.5824029,7.1660495,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
A2A,dU(class),5,0,6,8.3158131,1.1655952,4.5306869,10.404747,3.5824029,7.1660495,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
A2A,dU(class),-99999,0,7,8.3158131,1.1655952,4.5306869,10.404747,3.5824029,7.1660495,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
A2A,dU,3,0,3,9.5823765,1.0489562,4.0871668,6.3207517,3.8514082,4.8062925,0,0,0,0,1,0,6,0,7,0,0,0,0,0,0.142857143,0,0.857142857,0,0
A2A,dU,1,0,4,9.5823765,1.0489562,4.0871668,6.3207517,3.8514082,4.8062925,0,0,0,0,1,0,6,0,7,0,0,0,0,0,0.142857143,0,0.857142857,0,0
A2A,dU,-99999,0,5,9.5823765,1.0489562,4.0871668,6.3207517,3.8514082,4.8062925,0,0,0,0,1,0,6,0,7,0,0,0,0,0,0.142857143,0,0.857142857,0,0
A2A,dU,-99999,0,6,9.5823765,1.0489562,4.0871668,6.3207517,3.8514082,4.8062925,0,0,0,0,1,0,6,0,7,0,0,0,0,0,0.142857143,0,0.857142857,0,0
A2A,dU,-99999,0,7,9.5823765,1.0489562,4.0871668,6.3207517,3.8514082,4.8062925,0,0,0,0,1,0,6,0,7,0,0,0,0,0,0.142857143,0,0.857142857,0,0
A2C,dE(class),567,1.003527337,3,7.9078031,1.046078,4.1501207,8.6265497,1.5762092,4.5448332,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
A2C,dE(class),506,0.913661067,4,7.9078031,1.046078,4.1501207,8.6265497,1.5762092,4.5448332,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
A2C,dE(class),131,0.814408397,5,7.9078031,1.046078,4.1501207,8.6265497,1.5762092,4.5448332,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
A2C,dE(class),3,0,6,7.9078031,1.046078,4.1501207,8.6265497,1.5762092,4.5448332,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
