,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
36181,0,16.918573000000002,7.712937400000001,11.011024,9.5742579,10.160214,5,0,-2.0758164,0.2,0.0,0.0,0.0,0.8,2
62536,4,11.891028,7.8537879,11.773319,1.915557,6.6120496,5,0,-0.90909094,0.4,0.2,0.0,0.0,0.0,2
38279,0,19.812578,9.9422951,11.778748,5.519578,9.7029209,5,0,-2.7862597,0.2,0.2,0.6,0.0,0.0,2
47610,0,1.485185,1.4580548999999998,4.083315799999999,3.4512289,3.8470681000000004,3,0,-0.97500002,0.333333333,0.0,0.0,0.0,0.0,0
93879,1,16.697533,8.879363099999999,12.673322,4.2158608,9.273066499999999,5,0,-1.29375,0.6,0.2,0.0,0.0,0.0,2
6830,0,9.097381599999999,5.6726961,5.179975499999999,3.6577806000000006,4.7619371,5,0,-0.2375,0.0,0.2,0.0,0.0,0.6,0
65702,1,14.128028,8.4352989,13.478025,2.7418916,7.2742572,5,0,-0.94289476,0.4,0.0,0.2,0.0,0.0,2
6454,0,8.8766441,8.8766441,8.8878832,7.082346,7.985114599999999,2,0,-3.4000001,0.0,0.0,0.5,0.0,0.0,0
46585,0,17.680220000000002,11.917686999999999,13.552417000000002,6.7147875,10.200846,4,0,-6.042093799999999,0.25,0.0,0.25,0.0,0.0,2
96243,0,24.554555999999998,15.539919,21.403917,6.940338099999999,12.852637,5,0,-0.82857144,0.6,0.2,0.0,0.0,0.0,2
114055,0,11.110755000000001,7.4013724000000005,12.401209,3.1728077,6.0420427000000005,4,1,-0.20909090000000002,1.0,0.0,0.0,0.0,0.0,2
29363,0,11.591738000000001,6.808718700000001,12.306987,2.74418,8.408072500000001,5,0,-2.6163764,0.2,0.4,0.0,0.0,0.0,2
108815,4,15.529864000000002,7.5077548,11.729830999999999,5.152451,7.275855099999999,5,0,-0.33076924,0.8,0.0,0.0,0.0,0.0,2
40806,0,7.5099149,5.4462299000000005,7.8503356,4.1509237,6.0139556,4,0,-0.68000001,0.25,0.25,0.0,0.0,0.0,0
104343,7,5.4405789,3.5753038,5.102809,2.3519938,3.5445271000000003,5,0,-2.9514797,0.8,0.0,0.0,0.0,0.0,0
83556,9,4.0064254,2.4373524,5.5665698,3.3166342,4.5198679,5,0,-0.85391605,0.6,0.2,0.2,0.0,0.0,0
10018,0,10.817883,6.7437186,5.8064418,3.886651,4.8520832,4,0,-5.1868434,0.0,0.25,0.5,0.0,0.0,0
88867,20,11.33585,5.845808,10.89781,5.600569200000001,7.5714335,5,0,-2.5063294999999997,0.6,0.2,0.0,0.0,0.0,3
52595,0,13.039096,11.530967,11.632007000000002,5.239075700000001,9.4104795,3,0,-3.6996388,0.333333333,0.0,0.333333333,0.0,0.0,2
37361,0,18.262543,11.232937,17.608038,8.1929131,12.667084,5,0,-4.4581566,0.2,0.0,0.4,0.0,0.4,2
85441,29,7.9351296,5.6549644,5.429297900000001,4.5078363,5.0969405,5,0,-1.4666667,0.6,0.2,0.0,0.0,0.0,3
104016,1,3.0008152000000003,2.0181847,4.911816099999999,2.1497109,3.6033831,5,0,-0.63333333,0.8,0.0,0.0,0.0,0.0,0
63141,4,12.28232,7.8177294999999996,10.9953,3.1547678,7.2285094,5,0,-4.0423183,0.4,0.2,0.0,0.0,0.0,2
19636,0,17.463324,11.477250999999999,14.087658,2.9088886,10.070496,5,0,-0.46666667,0.0,0.0,0.0,0.0,0.4,2
108725,1,15.286435,9.5355358,11.949083,6.7375402,9.9203749,5,0,-0.51333332,0.8,0.0,0.0,0.0,0.0,2
89107,2,11.542161,6.6074462,7.498702000000001,3.1459193,5.272072799999999,5,0,-2.5362557999999997,0.6,0.0,0.0,0.0,0.0,0
29575,3,11.725498,7.3410621,11.992552,7.2617563999999994,9.6003647,5,0,-0.91244137,0.2,0.4,0.2,0.0,0.0,2
90698,0,13.014333,8.9288597,13.251285000000001,4.3450928,9.1350365,5,0,-1.448603,0.6,0.2,0.2,0.0,0.0,2
111123,0,3.8967731,3.8967731,10.583923,7.1783204,8.8811216,2,1,-0.86363637,1.0,0.0,0.0,0.0,0.0,0
6357,0,8.8295021,6.0827355,11.44364,7.395494500000001,8.809480699999998,3,0,-0.58749998,0.0,0.333333333,0.0,0.0,0.0,2
107858,1,13.236929,7.4431558,8.234933900000001,5.152451,6.7735996,5,0,-0.78333336,0.8,0.0,0.0,0.0,0.0,2
1336,0,3.1709414000000002,2.4295201,6.686730900000001,4.082255399999999,5.7744288,5,0,-2.3996058,0.0,0.2,0.0,0.0,0.4,0
115688,0,16.920898,16.920898,12.071085,5.5691643,8.8201246,2,1,-1.05,1.0,0.0,0.0,0.0,0.0,2
84240,14,6.0314579,3.7673843000000002,7.4438424,2.6967907,4.8066001,5,0,-0.85384613,0.6,0.2,0.0,0.0,0.0,0
69586,0,17.520065,10.442819,11.810091,3.8649986000000003,7.4675789,5,0,-2.4890508999999996,0.4,0.4,0.0,0.0,0.0,2
21710,0,21.017054,12.6246,16.093597,5.5011864,10.770863,4,0,-1.4571428,0.0,0.0,0.0,0.0,0.0,2
43956,0,12.396641,8.377839100000001,8.444530499999999,4.0486608,6.4946155999999995,4,0,-4.6794934,0.25,0.25,0.25,0.0,0.0,2
91468,5,13.803459,6.348979900000001,8.1754122,6.507318,7.168244400000001,5,0,-2.6356091,0.6,0.0,0.2,0.0,0.0,0
7862,2,9.685580300000002,6.7093239,10.209741000000001,7.503040299999999,8.550114599999999,5,0,-1.825,0.0,0.4,0.0,0.0,0.0,0
87046,8,9.7036543,5.9158292,8.6399326,5.2250285000000005,7.1384267999999995,5,0,-0.69999999,0.6,0.0,0.0,0.0,0.0,0
56383,63,7.3046317,4.294239,10.975850999999999,5.7155719000000005,7.877461900000001,5,0,-2.7238132999999998,0.4,0.4,0.0,0.0,0.0,3
27060,1,10.033959,6.207628700000001,6.1219983000000004,2.7176692000000005,4.3704472,5,0,-2.1384673,0.2,0.0,0.2,0.0,0.0,0
3680,0,6.8009143,4.2364674,9.7530375,5.041461,8.022192,4,0,-2.5959065,0.0,0.25,0.5,0.25,0.0,0
52482,0,12.757913,9.966821699999999,10.479975,3.589035,6.3921609,3,0,-1.825,0.333333333,0.333333333,0.0,0.0,0.0,2
59927,1,10.278852,5.9129429,10.788689999999999,4.4029417,7.258698,5,0,-3.0413167000000003,0.4,0.0,0.0,0.0,0.4,0
113104,22,8.9968586,5.387948000000001,8.2227716,4.551653900000001,6.0310277999999995,5,1,-0.47272727,1.0,0.0,0.0,0.0,0.0,3
90409,3,12.719154,7.872668300000001,10.763179,6.1270614000000005,8.427008599999999,5,0,-1.1866666000000001,0.6,0.2,0.0,0.0,0.0,2
86144,1,8.7349167,5.1973805,10.899738000000001,4.6078472,8.604470300000001,5,0,-3.0147262,0.6,0.0,0.2,0.0,0.0,0
53877,0,16.568916,14.495689000000002,15.668249,10.324786999999999,13.355455,3,0,-0.16666667,0.333333333,0.0,0.0,0.0,0.0,2
106426,2,10.406186,6.8088926999999995,13.142152,10.199435000000001,11.448267,5,0,-1.3375,0.8,0.0,0.0,0.0,0.0,2
69354,0,17.271995999999998,13.877483999999999,13.789325,5.179303599999999,10.107774000000001,5,0,-1.1538461000000002,0.4,0.2,0.0,0.0,0.0,2
19816,0,17.647560000000002,7.747283,12.432097,3.8514082000000003,6.5055122,5,1,-4.2322235,0.0,0.0,0.0,0.0,1.0,2
89133,4,11.561207000000001,6.8680344,6.9781713000000005,3.9690769,5.429774299999999,5,0,-0.23635162,0.6,0.0,0.2,0.0,0.0,0
89715,5,12.085726,7.9422083,10.122395,6.2258492,8.0663872,5,0,-1.5444444,0.6,0.2,0.0,0.0,0.0,2
56741,1,7.7084789,5.510571499999999,4.7310319000000005,2.3859775,3.7450968999999996,5,0,-0.86250001,0.4,0.2,0.0,0.0,0.4,0
84400,96,6.417078,3.9604757000000004,4.0259304,1.8581612,2.6719046000000004,5,0,-2.2920854,0.6,0.2,0.0,0.0,0.0,1
106169,6,9.9563103,6.7468977,6.5781507,2.8432793999999997,4.5025945,5,0,-0.30769232,0.8,0.0,0.0,0.0,0.0,0
55204,5,5.2256640999999995,3.1136165,4.1980453,2.4558461,3.1047257999999998,5,0,-2.3025796,0.4,0.0,0.2,0.0,0.0,0
104094,3,3.9307992,2.2956936000000003,13.162766,9.2968836,11.138525999999999,5,0,-1.1933334,0.8,0.2,0.0,0.0,0.0,0
86579,5,9.2116337,6.0168676,14.915854000000001,6.1802754,11.223908999999999,5,0,-1.44375,0.6,0.0,0.0,0.0,0.0,2
25829,0,9.097078300000002,4.7394052,10.571914,3.9323608999999995,5.6907973,5,0,-1.8142858,0.2,0.0,0.0,0.0,0.6,0
85765,21,8.2971172,5.505774,8.5219011,4.4043903,6.4211316,5,0,-1.6333333,0.6,0.0,0.0,0.0,0.0,3
80138,0,13.141314000000001,9.234781300000002,11.746113000000001,9.2334156,10.419476,4,0,-1.3692307,0.5,0.25,0.0,0.0,0.0,2
89741,2,12.113057000000001,8.2833433,14.980103,4.7899818,9.490142800000001,5,0,-2.9558423,0.6,0.0,0.0,0.0,0.0,2
85223,9,7.674926299999999,5.1282315,8.2227716,1.3070469,4.9530015,5,0,-2.4223244,0.6,0.0,0.0,0.0,0.0,0
28207,6,10.833153,6.720059399999999,6.3697228,4.3952398,5.0253782,5,0,-4.1665077,0.2,0.4,0.0,0.0,0.0,0
