,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
106264,3,10.119144,6.4848738,7.522949700000001,4.4061608,5.5904675,5,0,-0.35555556,0.8,0.0,0.0,0.0,0.0,1
81080,0,14.562767000000001,9.4339714,13.724188,6.600357499999999,9.9256916,4,0,-0.5714286,0.5,0.25,0.0,0.0,0.0,2
23710,7,6.634819500000001,4.5484605,4.426012,2.9425261000000003,3.9737957,5,0,-1.1799998999999999,0.2,0.6,0.0,0.0,0.0,1
27437,3,10.311657,6.2110362,9.1768255,6.5602083,8.2369871,5,0,-1.9,0.2,0.4,0.0,0.0,0.0,1
105066,15,7.636908099999999,5.1181221,7.6412067,3.3041706,5.5440688,5,0,-0.44999999,0.8,0.0,0.0,0.0,0.0,1
93564,0,16.268497,8.9531441,11.70079,7.993183599999999,9.7807884,5,0,-0.91538459,0.6,0.2,0.0,0.0,0.0,2
18948,0,16.729008,9.6786709,12.012997,4.6461625,7.639412400000001,4,0,-1.3142763000000002,0.0,0.25,0.25,0.0,0.0,2
89682,1,12.066369,7.8475599,13.645794,4.448997,8.3291502,5,0,-0.31999999,0.6,0.2,0.0,0.0,0.0,2
99246,0,11.831984,8.5127754,12.191151,6.2028108,8.583372099999998,3,0,-1.9381945,0.666666667,0.0,0.0,0.0,0.0,2
68255,0,16.207952,9.918663,16.468002,6.993688099999999,11.559512,5,0,-0.69999999,0.4,0.0,0.0,0.0,0.0,2
90660,5,12.96841,6.933291900000001,11.782065,5.5816956,8.336527799999999,5,0,-0.74285716,0.6,0.2,0.0,0.0,0.0,2
52584,0,13.024533,11.03466,10.99646,6.0194197,7.8711848,3,0,-2.251822,0.333333333,0.0,0.0,0.0,0.0,2
70909,0,19.284256,10.922017,13.001084,10.064498,11.259584,5,0,-0.5,0.4,0.0,0.0,0.0,0.0,2
44593,0,13.379607,7.9077272,12.886318,1.9547646,7.9259839,4,0,-4.2994108,0.25,0.25,0.0,0.0,0.0,2
